# frequency/Hz 	 PSD/[1/Hz]
0.000000000000000000e+00 9.224487305909171989e-40
1.250000000000000069e-02 5.851682496616396074e-40
2.500000000000000139e-02 2.989899380841247873e-40
3.750000000000000555e-02 1.863615975309974681e-40
5.000000000000000278e-02 1.428519872418467770e-40
6.250000000000000000e-02 1.311833555594761594e-40
7.500000000000001110e-02 1.429407147518255030e-40
8.750000000000000833e-02 1.866059852500520696e-40
1.000000000000000056e-01 2.996186817738451765e-40
1.125000000000000028e-01 5.866506798116432610e-40
1.250000000000000000e-01 9.224097404179017597e-40
1.375000000000000111e-01 5.836617392933868198e-40
1.500000000000000222e-01 2.983553581643248499e-40
1.625000000000000056e-01 1.861144473428096885e-40
1.750000000000000167e-01 1.427613200469003493e-40
1.875000000000000000e-01 1.311816124917646927e-40
2.000000000000000111e-01 1.430275055312573383e-40
2.125000000000000222e-01 1.868476148229839511e-40
2.250000000000000056e-01 3.002415720903073430e-40
2.375000000000000167e-01 5.881087760714423765e-40
2.500000000000000000e-01 9.222927766808332509e-40
2.625000000000000111e-01 5.821314000793538404e-40
2.750000000000000222e-01 2.977149589635624627e-40
2.875000000000000333e-01 1.858645305628439456e-40
3.000000000000000444e-01 1.426687104283141605e-40
3.125000000000000000e-01 1.311781265656539916e-40
3.250000000000000111e-01 1.431123627515358093e-40
3.375000000000000222e-01 1.870864907746299327e-40
3.500000000000000333e-01 3.008585916912719596e-40
3.625000000000000444e-01 5.895422824202934751e-40
3.750000000000000000e-01 9.220978596544871426e-40
3.875000000000000111e-01 5.805774811210111598e-40
4.000000000000000222e-01 2.970687572534579190e-40
4.125000000000000333e-01 1.856118432678718582e-40
4.250000000000000444e-01 1.425741558609251332e-40
4.375000000000000000e-01 1.311728981999324482e-40
4.500000000000000111e-01 1.431952898013432067e-40
4.625000000000000222e-01 1.873226178334079734e-40
4.750000000000000333e-01 3.014697230189257440e-40
4.875000000000000444e-01 5.909509404437435849e-40
5.000000000000000000e-01 9.218250231561712950e-40
5.125000000000000666e-01 5.790002292984661166e-40
5.250000000000000222e-01 2.964167696354589125e-40
5.374999999999999778e-01 1.853563817332121562e-40
5.500000000000000444e-01 1.424776540327563730e-40
5.625000000000000000e-01 1.311659280232289106e-40
5.750000000000000666e-01 1.432762902898052237e-40
5.875000000000000222e-01 1.875560009326768406e-40
6.000000000000000888e-01 3.020749482873352557e-40
6.125000000000000444e-01 5.923344892990063223e-40
6.250000000000000000e-01 9.214743145032889674e-40
6.375000000000000666e-01 5.773998893099161117e-40
6.500000000000000222e-01 2.957590125534356800e-40
6.625000000000000888e-01 1.850981424296332003e-40
6.750000000000000444e-01 1.423792028423344936e-40
6.875000000000000000e-01 1.311572168738595414e-40
7.000000000000000666e-01 1.433553680472504811e-40
7.125000000000000222e-01 1.877866452114145377e-40
7.250000000000000888e-01 3.026742494731115920e-40
7.375000000000000444e-01 5.936926656702826427e-40
7.500000000000000000e-01 9.210457945350419803e-40
7.625000000000000666e-01 5.757767037078801171e-40
7.750000000000000222e-01 2.950955022993809773e-40
7.875000000000000888e-01 1.848371220234566933e-40
8.000000000000000444e-01 1.422788004001026510e-40
8.125000000000000000e-01 1.311467658002942347e-40
8.250000000000000666e-01 1.434325271265245193e-40
8.375000000000000222e-01 1.880145560169572603e-40
8.500000000000000888e-01 3.032676082981595215e-40
8.625000000000000444e-01 5.950252037246285759e-40
8.750000000000000000e-01 9.205395375579600843e-40
8.875000000000000666e-01 5.741309129403076855e-40
9.000000000000000222e-01 2.944262550264793258e-40
9.125000000000000888e-01 1.845733173741309606e-40
9.250000000000000444e-01 1.421764450242113961e-40
9.375000000000000000e-01 1.311345760609492747e-40
9.500000000000000666e-01 1.435077718055294882e-40
9.625000000000000222e-01 1.882397389043934802e-40
9.750000000000000888e-01 3.038550062166612149e-40
9.875000000000000444e-01 5.963318350697933569e-40
1.000000000000000000e+00 9.199556313904973378e-40
1.012499999999999956e+00 5.724627553926351089e-40
1.025000000000000133e+00 2.937512867574077711e-40
1.037500000000000089e+00 1.843067255327631638e-40
1.050000000000000044e+00 1.420721352412329099e-40
1.062500000000000000e+00 1.311206491255135624e-40
1.074999999999999956e+00 1.435811065883786770e-40
1.087500000000000133e+00 1.884621996386778595e-40
1.100000000000000089e+00 3.044364243997803198e-40
1.112500000000000044e+00 5.976122887102114683e-40
1.125000000000000000e+00 9.192941772952454493e-40
1.137499999999999956e+00 5.707724674244402563e-40
1.150000000000000133e+00 2.930706133906093105e-40
1.162500000000000089e+00 1.840373437414392423e-40
1.175000000000000044e+00 1.419658697847953999e-40
1.187500000000000000e+00 1.311049866742780596e-40
1.200000000000000178e+00 1.436525362062206601e-40
1.212500000000000133e+00 1.886819441958065384e-40
1.225000000000000089e+00 3.050118437218987879e-40
1.237500000000000044e+00 5.988662910061388994e-40
1.250000000000000000e+00 9.185552899808664100e-40
1.262500000000000178e+00 5.690602834061371336e-40
1.275000000000000133e+00 2.923842507096432871e-40
1.287500000000000089e+00 1.837651694310837356e-40
1.300000000000000044e+00 1.418576475947262665e-40
1.312500000000000000e+00 1.310875905995414411e-40
1.325000000000000178e+00 1.437220656213553986e-40
1.337500000000000133e+00 1.888989787645996862e-40
1.350000000000000089e+00 3.055812447407118424e-40
1.362500000000000044e+00 6.000935656248977028e-40
1.375000000000000000e+00 9.177390975763669697e-40
1.387500000000000178e+00 5.673264357622746231e-40
1.400000000000000133e+00 2.916922143916713448e-40
1.412500000000000089e+00 1.834902002193680357e-40
1.425000000000000044e+00 1.417474678156412306e-40
1.437500000000000000e+00 1.310684630058539987e-40
1.450000000000000178e+00 1.437897000280693563e-40
1.462500000000000133e+00 1.891133097469306613e-40
1.475000000000000089e+00 3.061446076858118753e-40
1.487500000000000044e+00 6.012938335079460453e-40
1.500000000000000000e+00 9.168457416128039678e-40
1.512500000000000178e+00 5.655711549980943914e-40
1.525000000000000133e+00 2.909945200125124180e-40
1.537500000000000089e+00 1.832124339101333664e-40
1.550000000000000044e+00 1.416353297959267322e-40
1.562500000000000000e+00 1.310476062104014511e-40
1.575000000000000178e+00 1.438554448530363573e-40
1.587500000000000133e+00 1.893249437591827041e-40
1.600000000000000089e+00 3.067019124377307608e-40
1.612500000000000044e+00 6.024668128163225840e-40
1.625000000000000000e+00 9.158753769815908994e-40
1.637500000000000178e+00 5.637946697494230404e-40
1.650000000000000133e+00 2.902911830542632681e-40
1.662500000000000089e+00 1.829318684916827038e-40
1.675000000000000044e+00 1.415212330878736993e-40
1.687500000000000000e+00 1.310250227435978901e-40
1.700000000000000178e+00 1.439193057600219030e-40
1.712500000000000133e+00 1.895338876333943725e-40
1.725000000000000089e+00 3.072531385101163937e-40
1.737500000000000044e+00 6.036122188915056516e-40
1.750000000000000000e+00 9.148281719294970859e-40
1.762500000000000178e+00 5.619972068163534461e-40
1.775000000000000133e+00 2.895822189160976583e-40
1.787500000000000089e+00 1.826485021342357647e-40
1.800000000000000044e+00 1.414051774458297452e-40
1.812500000000000000e+00 1.310007153506275882e-40
1.825000000000000178e+00 1.439812886500362100e-40
1.837500000000000133e+00 1.897401484179270398e-40
1.850000000000000089e+00 3.077982650302344676e-40
1.862500000000000044e+00 6.047297642122260988e-40
1.875000000000000000e+00 9.137043080021644760e-40
1.887500000000000178e+00 5.601789911879814527e-40
1.900000000000000133e+00 2.888676429125785018e-40
1.912500000000000089e+00 1.823623331891751093e-40
1.925000000000000044e+00 1.412871628259741264e-40
1.937500000000000000e+00 1.309746869915798476e-40
1.950000000000000178e+00 1.440413996646128498e-40
1.962500000000000133e+00 1.899437333785529484e-40
1.975000000000000089e+00 3.083372707223014611e-40
1.987500000000000044e+00 6.058191583515780187e-40
2.000000000000000000e+00 9.125039800125838999e-40
2.012500000000000178e+00 5.583402460940274754e-40
2.024999999999999911e+00 2.881474702854985574e-40
2.037500000000000089e+00 1.820733601875148767e-40
2.050000000000000266e+00 1.411671893854742253e-40
2.062500000000000000e+00 1.309469408424957205e-40
2.075000000000000178e+00 1.440996451869784505e-40
2.087499999999999911e+00 1.901446500008087649e-40
2.100000000000000089e+00 3.088701338838397483e-40
2.112500000000000266e+00 6.068801079295563733e-40
2.125000000000000000e+00 9.112273960227721774e-40
2.137500000000000178e+00 5.564811930278192751e-40
2.149999999999999911e+00 2.874217162078351307e-40
2.162500000000000089e+00 1.817815818378002489e-40
2.175000000000000266e+00 1.410452574816134428e-40
2.187500000000000000e+00 1.309174802963806341e-40
2.200000000000000178e+00 1.441560318457440409e-40
2.212499999999999911e+00 1.903429059882934951e-40
2.225000000000000089e+00 3.093968323652029470e-40
2.237500000000000266e+00 6.079123165797250041e-40
2.250000000000000000e+00 9.098747772841885842e-40
2.262500000000000178e+00 5.546020517884523583e-40
2.274999999999999911e+00 2.866903957884520453e-40
2.287500000000000089e+00 1.814869970236576880e-40
2.300000000000000266e+00 1.409213676713228039e-40
2.312500000000000000e+00 1.308863089638629166e-40
2.325000000000000178e+00 1.442105665159687771e-40
2.337499999999999911e+00 1.905385092651163296e-40
2.350000000000000089e+00 3.099173435483447803e-40
2.362500000000000266e+00 6.089154848915631206e-40
2.375000000000000000e+00 9.084463582019233283e-40
2.387500000000000178e+00 5.527030405093543341e-40
2.400000000000000355e+00 2.859535240763826902e-40
2.412500000000000089e+00 1.811896048044004438e-40
2.425000000000000266e+00 1.407955207107911117e-40
2.437500000000000000e+00 1.308534306750910494e-40
2.450000000000000178e+00 1.442632563221582181e-40
2.462500000000000355e+00 1.907314679771358809e-40
2.475000000000000089e+00 3.104316443229796923e-40
2.487500000000000266e+00 6.098893103830893637e-40
2.500000000000000000e+00 9.069423862921594164e-40
2.512500000000000178e+00 5.507843756966822531e-40
2.525000000000000355e+00 2.852111160686246172e-40
2.537500000000000089e+00 1.808894044115598854e-40
2.550000000000000266e+00 1.406677175545167594e-40
2.562500000000000000e+00 1.308188494800937419e-40
2.575000000000000178e+00 1.443141086415108890e-40
2.587500000000000355e+00 1.909217904912312249e-40
2.600000000000000089e+00 3.109397110622460726e-40
2.612500000000000266e+00 6.108334874420707703e-40
2.625000000000000000e+00 9.053631221312888191e-40
2.637500000000000178e+00 5.488462722593444728e-40
2.650000000000000355e+00 2.844631867118437477e-40
2.662500000000000089e+00 1.805863952464167954e-40
2.675000000000000266e+00 1.405379593550498175e-40
2.687500000000000000e+00 1.307825696503710046e-40
2.700000000000000178e+00 1.443631311041977474e-40
2.712500000000000355e+00 1.911094853973602271e-40
2.725000000000000089e+00 3.114415196004528882e-40
2.737500000000000266e+00 6.117477073005240042e-40
2.750000000000000000e+00 9.037088393179241062e-40
2.762500000000000178e+00 5.468889435444645451e-40
2.775000000000000355e+00 2.837097509065002402e-40
2.787500000000000089e+00 1.802805768808217222e-40
2.800000000000000266e+00 1.404062474627997822e-40
2.812500000000000000e+00 1.307445956803284514e-40
2.825000000000000178e+00 1.444103315990549206e-40
2.837500000000000355e+00 1.912945615080312374e-40
2.850000000000000089e+00 3.119370452011148679e-40
2.862500000000000266e+00 6.126316579910096006e-40
2.875000000000000000e+00 9.019798243922295327e-40
2.887500000000000178e+00 5.449126013625611430e-40
2.900000000000000355e+00 2.829508235097980918e-40
2.912500000000000089e+00 1.799719490535044319e-40
2.925000000000000266e+00 1.402725834250349811e-40
2.937500000000000000e+00 1.307049322884091349e-40
2.950000000000000178e+00 1.444557182743914767e-40
2.962500000000000355e+00 1.914770278607656176e-40
2.975000000000000089e+00 3.124262625390266341e-40
2.987500000000000266e+00 6.134850242851258332e-40
3.000000000000000000e+00 9.001763768096296089e-40
3.012500000000000178e+00 5.429174560297482652e-40
3.025000000000000355e+00 2.821864193443732949e-40
3.037500000000000089e+00 1.796605116682968835e-40
3.050000000000000266e+00 1.401369689856992528e-40
3.062500000000000000e+00 1.306635844183189568e-40
3.075000000000000178e+00 1.444992995411688386e-40
3.087500000000000355e+00 1.916568937148536456e-40
3.100000000000000089e+00 3.129091456624601871e-40
3.112500000000000266e+00 6.143074876835048511e-40
3.125000000000000000e+00 8.982988088762289774e-40
3.137500000000000178e+00 5.409037163921331044e-40
3.150000000000000355e+00 2.814165531942598130e-40
3.162500000000000089e+00 1.793462647931565954e-40
3.175000000000000266e+00 1.399994060854721429e-40
3.187500000000000000e+00 1.306205572412968016e-40
3.200000000000000178e+00 1.445410840755005872e-40
3.212500000000000355e+00 1.918341685558418857e-40
3.225000000000000089e+00 3.133856679717048503e-40
3.237500000000000266e+00 6.150987263541563821e-40
3.250000000000000000e+00 8.963474456802043832e-40
3.262500000000000178e+00 5.388715898546329337e-40
3.275000000000000355e+00 2.806412398133640749e-40
3.287500000000000089e+00 1.790292086583123166e-40
3.300000000000000266e+00 1.398598968613390499e-40
3.312500000000000000e+00 1.305758561573522441e-40
3.325000000000000178e+00 1.445810808230039632e-40
3.337500000000000355e+00 1.920088620933843244e-40
3.350000000000000089e+00 3.138558021854001254e-40
3.362500000000000266e+00 6.158584151026410557e-40
3.375000000000000000e+00 8.943226250445650584e-40
3.387500000000000178e+00 5.368212824223503500e-40
3.400000000000000355e+00 2.798604939259929944e-40
3.412500000000000089e+00 1.787093436542400201e-40
3.425000000000000266e+00 1.397184436458743585e-40
3.437500000000000000e+00 1.305294867964741372e-40
3.450000000000000178e+00 1.446192990013157381e-40
3.462500000000000355e+00 1.921809842627508165e-40
3.475000000000000089e+00 3.143195203081488524e-40
3.487500000000000266e+00 6.165862253350637694e-40
3.500000000000000000e+00 8.922246974392513242e-40
3.512500000000000178e+00 5.347529987124341559e-40
3.525000000000000355e+00 2.790743302295261227e-40
3.537500000000000089e+00 1.783866703284164009e-40
3.550000000000000266e+00 1.395750489679381393e-40
3.562500000000000000e+00 1.304814550214761551e-40
3.575000000000000178e+00 1.446557481014738055e-40
3.587500000000000355e+00 1.923505452239455986e-40
3.600000000000000089e+00 3.147767936000473003e-40
3.612500000000000266e+00 6.172818250173292806e-40
3.625000000000000000e+00 8.900540259446193139e-40
3.637500000000000178e+00 5.326669419987205181e-40
3.650000000000000355e+00 2.782827633972232837e-40
3.662500000000000089e+00 1.780611893865974481e-40
3.675000000000000266e+00 1.394297155512798550e-40
3.687500000000000000e+00 1.304317669284314190e-40
3.700000000000000178e+00 1.446904378939017618e-40
3.712500000000000355e+00 1.925175553625047622e-40
3.725000000000000089e+00 3.152275925429034216e-40
3.737500000000000266e+00 6.179448786413990409e-40
3.750000000000000000e+00 8.878109861649076047e-40
3.762500000000000178e+00 5.305633142366771668e-40
3.775000000000000355e+00 2.774858080794838760e-40
3.787500000000000089e+00 1.777329016872314997e-40
3.800000000000000266e+00 1.392824463160815343e-40
3.812500000000000000e+00 1.303804288501305414e-40
3.825000000000000178e+00 1.447233784302186992e-40
3.837500000000000355e+00 1.926820252877798545e-40
3.850000000000000089e+00 3.156718868011497070e-40
3.862500000000000266e+00 6.185750471914804128e-40
3.875000000000000000e+00 8.854959661488621094e-40
3.887500000000000178e+00 5.284423160863577040e-40
3.900000000000000355e+00 2.766834789074815078e-40
3.912500000000000089e+00 1.774018082427737854e-40
3.925000000000000266e+00 1.391332443775874579e-40
3.937500000000000000e+00 1.303274473575222504e-40
3.950000000000000178e+00 1.447545800471025943e-40
3.962500000000000355e+00 1.928439658363445358e-40
