# frequency/Hz 	 PSD/[1/Hz]
0.000000000000000000e+00 1.598763530029467148e-38
1.298701298701298787e-02 1.482914552392483185e-38
2.597402597402597574e-02 1.248502896247970583e-38
3.896103896103896014e-02 1.048718462333986935e-38
5.194805194805195148e-02 9.348332960248436772e-39
6.493506493506494281e-02 9.074808743594375627e-39
7.792207792207792028e-02 9.642392550855958590e-39
9.090909090909091161e-02 1.109089147160930899e-38
1.038961038961039030e-01 1.331555087147549471e-38
1.168831168831168943e-01 1.546137837952881007e-38
1.298701298701298856e-01 1.583325893324457799e-38
1.428571428571428770e-01 1.405188795843951544e-38
1.558441558441558406e-01 1.170633379920800160e-38
1.688311688311688319e-01 9.989503059394232626e-39
1.818181818181818232e-01 9.157051935982492160e-39
1.948051948051948146e-01 9.173992437590835769e-39
2.077922077922078059e-01 1.004190899415930364e-38
2.207792207792207972e-01 1.179318139774004146e-38
2.337662337662337886e-01 1.414672493527534866e-38
2.467532467532467799e-01 1.586514803180852917e-38
2.597402597402597713e-01 1.539467027095245089e-38
2.727272727272727626e-01 1.321344738054005895e-38
2.857142857142857539e-01 1.101120125357923947e-38
2.987012987012987453e-01 9.599001449155302334e-39
3.116883116883116811e-01 9.066169602886193556e-39
3.246753246753246724e-01 9.373728902953815175e-39
3.376623376623376638e-01 1.054847125959494686e-38
3.506493506493506551e-01 1.257594219916016967e-38
3.636363636363636465e-01 1.490728735316197917e-38
3.766233766233766378e-01 1.597941220362955249e-38
3.896103896103896291e-01 1.473681302499973722e-38
4.025974025974026205e-01 1.238297326550916123e-38
4.155844155844156118e-01 1.041621111183521673e-38
4.285714285714286031e-01 9.313785585836225554e-39
4.415584415584415945e-01 9.074370966478767882e-39
4.545454545454545858e-01 9.676392465600605647e-39
4.675324675324675772e-01 1.116032317187857559e-38
4.805194805194805685e-01 1.340537882460523953e-38
4.935064935064935598e-01 1.551259556962676207e-38
5.064935064935065512e-01 1.578535632615986069e-38
5.194805194805195425e-01 1.394432037907786691e-38
5.324675324675325339e-01 1.160923710367453659e-38
5.454545454545455252e-01 9.927801271723477571e-39
5.584415584415585165e-01 9.131063704825271905e-39
5.714285714285715079e-01 9.181728059368123168e-39
5.844155844155844992e-01 1.008454087269636192e-38
5.974025974025974906e-01 1.186900415954650644e-38
6.103896103896104819e-01 1.422798946631989705e-38
6.233766233766233622e-01 1.588075946077548997e-38
6.363636363636363535e-01 1.531310268073996418e-38
6.493506493506493449e-01 1.309995401970815770e-38
6.623376623376623362e-01 1.092190728846979494e-38
6.753246753246753276e-01 9.546542579216249559e-39
6.883116883116883189e-01 9.048455997439593701e-39
7.012987012987013102e-01 9.389663046766813680e-39
7.142857142857143016e-01 1.059945071148976898e-38
7.272727272727272929e-01 1.265487146905643836e-38
7.402597402597402843e-01 1.497057577784147628e-38
7.532467532467532756e-01 1.595491723674368340e-38
7.662337662337662669e-01 1.463115031540457596e-38
7.792207792207792583e-01 1.227060073724615181e-38
7.922077922077922496e-01 1.033605428923984976e-38
8.051948051948052409e-01 9.270251414662353005e-39
8.181818181818182323e-01 9.064705468402983105e-39
8.311688311688312236e-01 9.700543394185632380e-39
8.441558441558442150e-01 1.121876041379597252e-38
8.571428571428572063e-01 1.348211060671450087e-38
8.701298701298701976e-01 1.554797925120560807e-38
8.831168831168831890e-01 1.572202264855148600e-38
8.961038961038961803e-01 1.382495955246360949e-38
9.090909090909091717e-01 1.150258999882341940e-38
9.220779220779221630e-01 9.857143014582307814e-39
9.350649350649351543e-01 9.096034797313815878e-39
9.480519480519481457e-01 9.179958864772837054e-39
9.610389610389611370e-01 1.011680621382995360e-38
9.740259740259741283e-01 1.193299721188439522e-38
9.870129870129871197e-01 1.429499975517967966e-38
1.000000000000000000e+00 1.588017172552113022e-38
1.012987012987013102e+00 1.521754486782877910e-38
1.025974025974025983e+00 1.297595933002678585e-38
1.038961038961039085e+00 1.082354554768104741e-38
1.051948051948051965e+00 9.485188977618827227e-39
1.064935064935065068e+00 9.021521809717422590e-39
1.077922077922077948e+00 9.395693981867195036e-39
1.090909090909091050e+00 1.063941960602298725e-38
1.103896103896103931e+00 1.272101618250962728e-38
1.116883116883117033e+00 1.501860267107292937e-38
1.129870129870129913e+00 1.591466398526620819e-38
1.142857142857143016e+00 1.451315040064858966e-38
1.155844155844155896e+00 1.214866741413357212e-38
1.168831168831168998e+00 1.024707357097337142e-38
