# frequency/Hz 	 PSD/[1/Hz]
0.000000000000000000e+00 3.609878946487029672e-38
2.083333333333333218e-02 2.806839043382960935e-38
4.166666666666666435e-02 1.943448619875012160e-38
6.250000000000000000e-02 1.686045176396478300e-38
8.333333333333332871e-02 1.948750106007749553e-38
1.041666666666666574e-01 2.817887697455593012e-38
1.250000000000000000e-01 3.609763485752600113e-38
1.458333333333333148e-01 2.795735659299011103e-38
1.666666666666666574e-01 1.938105766194727986e-38
1.875000000000000000e-01 1.685991320384372864e-38
2.083333333333333148e-01 1.954009656713624373e-38
2.291666666666666574e-01 2.828879995846125549e-38
2.500000000000000000e-01 3.609417063277671385e-38
2.708333333333333148e-01 2.784579101729032099e-38
2.916666666666666297e-01 1.932722113561481984e-38
3.125000000000000000e-01 1.685883625164200708e-38
3.333333333333333148e-01 1.959226705248810202e-38
3.541666666666666297e-01 2.839814242488454934e-38
3.750000000000000000e-01 3.608839558610793239e-38
3.958333333333333148e-01 2.773370859579915954e-38
4.166666666666666297e-01 1.927298230914563794e-38
4.375000000000000000e-01 1.685722124344232411e-38
4.583333333333333148e-01 1.964400686426101137e-38
4.791666666666666297e-01 2.850688669308968588e-38
5.000000000000000000e-01 3.608030770865104870e-38
5.208333333333332593e-01 2.762112355322205039e-38
5.416666666666666297e-01 1.921834687084091845e-38
5.625000000000000000e-01 1.685506868341447559e-38
5.833333333333332593e-01 1.969531037011048410e-38
6.041666666666666297e-01 2.861501434780983304e-38
6.250000000000000000e-01 3.606990418756271476e-38
6.458333333333332593e-01 2.750804946308124228e-38
6.666666666666666297e-01 1.916332050411005456e-38
6.875000000000000000e-01 1.685237924343047718e-38
7.083333333333332593e-01 1.974617196154194726e-38
7.291666666666666297e-01 2.872250622221322346e-38
7.500000000000000000e-01 3.605718140532437984e-38
7.708333333333332593e-01 2.739449925876715851e-38
7.916666666666666297e-01 1.910790888344879267e-38
8.125000000000000000e-01 1.684915376334485742e-38
8.333333333333332593e-01 1.979658605782797430e-38
8.541666666666666297e-01 2.882934238190993080e-38
8.750000000000000000e-01 3.604213493895724938e-38
8.958333333333332593e-01 2.728048524562391338e-38
9.166666666666666297e-01 1.905211767018378897e-38
9.375000000000000000e-01 1.684539325045494727e-38
9.583333333333332593e-01 1.984654711034484053e-38
9.791666666666666297e-01 2.893550210680899151e-38
1.000000000000000000e+00 3.602475955868668569e-38
1.020833333333333259e+00 2.716601911093738695e-38
1.041666666666666519e+00 1.899595250884972910e-38
1.062500000000000000e+00 1.684109887967386066e-38
1.083333333333333259e+00 1.989604960669990878e-38
1.104166666666666519e+00 2.904096387340465666e-38
1.125000000000000000e+00 3.600504922814857982e-38
1.145833333333333259e+00 2.705111193509554199e-38
1.166666666666666519e+00 1.893941902264009466e-38
1.187500000000000000e+00 1.683627199310960974e-38
1.208333333333333259e+00 1.994508807488833700e-38
1.229166666666666519e+00 2.914570533503863540e-38
1.250000000000000000e+00 3.598299710063417980e-38
1.270833333333333259e+00 2.693577420002226514e-38
1.291666666666666519e+00 1.888252280972927196e-38
1.312500000000000000e+00 1.683091409982499982e-38
1.333333333333333259e+00 1.999365708733536092e-38
1.354166666666666519e+00 2.924970330340131091e-38
1.375000000000000000e+00 3.595859552052990691e-38
1.395833333333333259e+00 2.682001579946510979e-38
1.416666666666666519e+00 1.882526943935177060e-38
1.437500000000000000e+00 1.682502687588700499e-38
1.458333333333333259e+00 2.004175126535986844e-38
1.479166666666666519e+00 2.935293372645163961e-38
1.500000000000000000e+00 3.593183602007366333e-38
1.520833333333333259e+00 2.670384604682502452e-38
1.541666666666666519e+00 1.876766444757994432e-38
1.562500000000000000e+00 1.681861216359337862e-38
1.583333333333333259e+00 2.008936528309934424e-38
1.604166666666666519e+00 2.945537166863817030e-38
1.625000000000000000e+00 3.590270931807110122e-38
1.645833333333333259e+00 2.658727368422192729e-38
1.666666666666666519e+00 1.870971333342068955e-38
1.687500000000000000e+00 1.681167197172674613e-38
1.708333333333333259e+00 2.013649387170747284e-38
1.729166666666666519e+00 2.955699128730138722e-38
1.750000000000000000e+00 3.587120531764635020e-38
1.770833333333333259e+00 2.647030688916603058e-38
1.791666666666666519e+00 1.865142155473258596e-38
1.812500000000000000e+00 1.680420847477873058e-38
1.833333333333333259e+00 2.018313182372072354e-38
1.854166666666666519e+00 2.965776581080703897e-38
1.875000000000000000e+00 3.583731310480149121e-38
1.895833333333333259e+00 2.635295328273008571e-38
1.916666666666666519e+00 1.859279452454010690e-38
1.937500000000000000e+00 1.679622401297545099e-38
1.958333333333333259e+00 2.022927399699476126e-38
1.979166666666666519e+00 2.975766751335060672e-38
2.000000000000000000e+00 3.580102094610839967e-38
2.020833333333333037e+00 2.623521993536301669e-38
2.041666666666666519e+00 1.853383760646687723e-38
2.062500000000000000e+00 1.678772109156203831e-38
2.083333333333333037e+00 2.027491531896814833e-38
2.104166666666666519e+00 2.985666769128311858e-38
2.125000000000000000e+00 3.576231628654837898e-38
2.145833333333333037e+00 2.611711337390092145e-38
2.166666666666666519e+00 1.847455611135634346e-38
2.187500000000000000e+00 1.677870238082705060e-38
2.208333333333333037e+00 2.032005079073325226e-38
2.229166666666666519e+00 2.995473663672446270e-38
2.250000000000000000e+00 3.572118574763218381e-38
2.270833333333333037e+00 2.599863958682363777e-38
2.291666666666666519e+00 1.841495529279855482e-38
2.312500000000000000e+00 1.676917071535017578e-38
2.333333333333333037e+00 2.036467549126321267e-38
2.354166666666666519e+00 3.005184361070266570e-38
2.375000000000000000e+00 3.567761512381750786e-38
2.395833333333333037e+00 2.587980403022179499e-38
2.416666666666666519e+00 1.835504034335235656e-38
2.437500000000000000e+00 1.675912909390267122e-38
2.458333333333333037e+00 2.040878458122423561e-38
2.479166666666666519e+00 3.014795681475798102e-38
2.500000000000000000e+00 3.563158938151251243e-38
2.520833333333333037e+00 2.576061163179721711e-38
2.541666666666666519e+00 1.829481639032748788e-38
2.562500000000000000e+00 1.674858067884694437e-38
2.583333333333333037e+00 2.045237330744533053e-38
2.604166666666666519e+00 3.024304336327547792e-38
2.625000000000000000e+00 3.558309265600043999e-38
2.645833333333333037e+00 2.564106679640779245e-38
2.666666666666666519e+00 1.823428849177341994e-38
2.687500000000000000e+00 1.673752879581995801e-38
2.708333333333333037e+00 2.049543700652859678e-38
2.729166666666666519e+00 3.033706925214313755e-38
2.750000000000000000e+00 3.553210824833013436e-38
2.770833333333333037e+00 2.552117340862390000e-38
2.791666666666666519e+00 1.817346163248918170e-38
2.812500000000000000e+00 1.672597693325374045e-38
2.833333333333333037e+00 2.053797110894813021e-38
2.854166666666666519e+00 3.042999932842556829e-38
2.875000000000000000e+00 3.547861862343880454e-38
2.895833333333333037e+00 2.540093483786228933e-38
2.916666666666666519e+00 1.811234071970297674e-38
2.937500000000000000e+00 1.671392874205287105e-38
2.958333333333333037e+00 2.057997114310368060e-38
2.979166666666666519e+00 3.052179725745275045e-38
3.000000000000000000e+00 3.542260540723496307e-38
3.020833333333333037e+00 2.528035394006686844e-38
3.041666666666666519e+00 1.805093057904999862e-38
3.062500000000000000e+00 1.670138803501646875e-38
3.083333333333333037e+00 2.062143273891703668e-38
3.104166666666666519e+00 3.061242548988366116e-38
3.125000000000000000e+00 3.536404938477164877e-38
3.145833333333333037e+00 2.515943306165829313e-38
3.166666666666666519e+00 1.798923595027989773e-38
3.187500000000000000e+00 1.668835878669876720e-38
