# frequency/Hz 	 PSD/[1/Hz]
0.000000000000000000e+00 2.121530248204488083e-38
2.777777777777777624e-02 3.246310529743220709e-38
5.555555555555555247e-02 1.138529024736388703e-37
8.333333333333332871e-02 5.732656441646080000e-38
1.111111111111111049e-01 2.353895373155073993e-38
1.388888888888888951e-01 2.350446687124629675e-38
1.666666666666666574e-01 5.705280206409088170e-38
1.944444444444444198e-01 1.142771030832537690e-37
2.222222222222222099e-01 3.255973222958802649e-38
2.500000000000000000e-01 2.121232158072529926e-38
2.777777777777777901e-01 3.235873379293950633e-38
3.055555555555555247e-01 1.134217824519491484e-37
3.333333333333333148e-01 5.759104768048115394e-38
3.611111111111111049e-01 2.356702290459534874e-38
3.888888888888888395e-01 2.346360268492698377e-38
4.166666666666666297e-01 5.676993461377489042e-38
4.444444444444444198e-01 1.146943842040986733e-37
4.722222222222222099e-01 3.264850755641663862e-38
5.000000000000000000e-01 2.120337637268694736e-38
5.277777777777777901e-01 3.224671533407802575e-38
5.555555555555555802e-01 1.129837361229644882e-37
5.833333333333332593e-01 5.784606038263582341e-38
6.111111111111110494e-01 2.358862808627776741e-38
6.388888888888888395e-01 2.341639569790314944e-38
6.666666666666666297e-01 5.647811958393351638e-38
6.944444444444444198e-01 1.151047380929673294e-37
7.222222222222222099e-01 3.272931447386320697e-38
7.500000000000000000e-01 2.118845934550069433e-38
7.777777777777776791e-01 3.212713846384024632e-38
8.055555555555554692e-01 1.125387503240203557e-37
8.333333333333332593e-01 5.809139248713549566e-38
8.611111111111110494e-01 2.360371691784386955e-38
8.888888888888888395e-01 2.336287469990363241e-38
9.166666666666666297e-01 5.617749896111979651e-38
9.444444444444444198e-01 1.155081486001792221e-37
9.722222222222222099e-01 3.280202602970897725e-38
1.000000000000000000e+00 2.116755797160021190e-38
1.027777777777777679e+00 3.200008297110373887e-38
1.055555555555555580e+00 1.120868063024193044e-37
1.083333333333333259e+00 5.832681423749851919e-38
1.111111111111111160e+00 2.361223086839923878e-38
1.138888888888888840e+00 2.330306283897277608e-38
1.166666666666666519e+00 5.586820008499936516e-38
1.194444444444444420e+00 1.159045904104209338e-37
1.222222222222222099e+00 3.286650472764736904e-38
1.250000000000000000e+00 2.114065470082691310e-38
1.277777777777777679e+00 3.186562019525694313e-38
1.305555555555555580e+00 1.116278804096537534e-37
1.333333333333333259e+00 5.855207491197491557e-38
1.361111111111110938e+00 2.361410510969634893e-38
1.388888888888888840e+00 2.323697771202088581e-38
1.416666666666666519e+00 5.555033647215866910e-38
1.444444444444444420e+00 1.162940282413461697e-37
1.472222222222222099e+00 3.292260210922787915e-38
1.500000000000000000e+00 2.110772694711232009e-38
1.527777777777777679e+00 3.172381331328446379e-38
1.555555555555555358e+00 1.111619447871112281e-37
1.583333333333333259e+00 5.876690149467602807e-38
1.611111111111110938e+00 2.360926838766879644e-38
1.638888888888888840e+00 2.316463144836114024e-38
1.666666666666666519e+00 5.522400859202367026e-38
1.694444444444444420e+00 1.166764159990016123e-37
1.722222222222222099e+00 3.297015831616526548e-38
1.750000000000000000e+00 2.106874707449256697e-38
1.777777777777777679e+00 3.157471761621480465e-38
1.805555555555555358e+00 1.106889680759134971e-37
1.833333333333333259e+00 5.897099723587905680e-38
1.861111111111110938e+00 2.359764288620060319e-38
