# frequency/Hz 	 PSD/[1/Hz]
0.000000000000000000e+00 5.892577298238676584e-40
2.777777777777777624e-02 9.996082191884167769e-40
5.555555555555555247e-02 1.832682755112703572e-38
8.333333333333332871e-02 2.421353021370605031e-39
1.111111111111111049e-01 6.724321202506737925e-40
1.388888888888888951e-01 6.609629363094372742e-40
1.666666666666666574e-01 2.232254904791989378e-39
1.944444444444444198e-01 2.418074163202483528e-38
2.222222222222222099e-01 1.040354448941937817e-39
2.500000000000000000e-01 5.892394770428091927e-40
2.777777777777777901e-01 9.611506220655331468e-40
3.055555555555555247e-01 1.436407270007393398e-38
3.333333333333333148e-01 2.635373932781161682e-39
3.611111111111111049e-01 6.841604762937732212e-40
3.888888888888888395e-01 6.497438649821375020e-40
4.166666666666666297e-01 2.064331502810762406e-39
4.444444444444444198e-01 3.334893128185338012e-38
4.722222222222222099e-01 1.083581110621532993e-39
5.000000000000000000e-01 5.891847176762361197e-40
5.277777777777777901e-01 9.248082532716464463e-40
5.555555555555555802e-01 1.155803270276495830e-38
5.833333333333332593e-01 2.878936218984623410e-39
6.111111111111110494e-01 6.961575068882230457e-40
6.388888888888888395e-01 6.387662639907233654e-40
6.666666666666666297e-01 1.914515320818719325e-39
6.944444444444444198e-01 4.888782489876547446e-38
7.222222222222222099e-01 1.129500809645164177e-39
7.500000000000000000e-01 5.890934486410909367e-40
7.777777777777776791e-01 8.904240132821367087e-40
8.055555555555554692e-01 9.498821722484073332e-39
8.333333333333332593e-01 3.157783763760485869e-39
8.611111111111110494e-01 7.084331851195676061e-40
8.888888888888888395e-01 6.280218842971563216e-40
9.166666666666666297e-01 1.780276199261011340e-39
9.444444444444444198e-01 7.836029592306478414e-38
9.722222222222222099e-01 1.178349747361402815e-39
1.000000000000000000e+00 5.889656648244522414e-40
1.027777777777777679e+00 8.578552900540173267e-40
1.055555555555555580e+00 7.943161189087932501e-39
1.083333333333333259e+00 3.479132094492902265e-39
1.111111111111111160e+00 7.209979845067694313e-40
1.138888888888888840e+00 6.175028477735189945e-40
1.166666666666666519e+00 1.659512064824229109e-39
1.194444444444444420e+00 1.447953517999994533e-37
1.222222222222222099e+00 1.230390959300415600e-39
1.250000000000000000e+00 5.888013591168443716e-40
1.277777777777777679e+00 8.269723745895786324e-40
1.305555555555555580e+00 6.739296675082454136e-39
1.333333333333333259e+00 3.852145880080206825e-39
1.361111111111110938e+00 7.338629110884909373e-40
1.388888888888888840e+00 6.072016263703195684e-40
1.416666666666666519e+00 1.550464760143828111e-39
1.444444444444444420e+00 3.458843111694454685e-37
1.472222222222222099e+00 1.285918086346338800e-39
1.500000000000000000e+00 5.886005224617367340e-40
1.527777777777777679e+00 7.976570757562171276e-40
1.555555555555555358e+00 5.788601399460708736e-39
1.583333333333333259e+00 4.288607604329017791e-39
1.611111111111110938e+00 7.470395380074706692e-40
1.638888888888888840e+00 5.971110226913494595e-40
1.666666666666666519e+00 1.451654579855041029e-39
1.694444444444444420e+00 1.390082658682287773e-36
1.722222222222222099e+00 1.345259781862948876e-39
1.750000000000000000e+00 5.883631439166132314e-40
1.777777777777777679e+00 7.698015062111353372e-40
1.805555555555555358e+00 5.024731465602468904e-39
1.833333333333333259e+00 4.803870198169378893e-39
1.861111111111110938e+00 7.605400428502487522e-40
1.888888888888888840e+00 5.872241518327022502e-40
1.916666666666666519e+00 1.361828906448253202e-39
1.944444444444444420e+00 2.527328977857371506e-36
1.972222222222222099e+00 1.408784880678443683e-39
2.000000000000000000e+00 5.880892107334375046e-40
2.027777777777777679e+00 7.433070155938788160e-40
2.055555555555555358e+00 4.401731312237548110e-39
2.083333333333333037e+00 5.418240330873516321e-39
2.111111111111111160e+00 7.743772479688581141e-40
2.138888888888888840e+00 5.775344244231846192e-40
2.166666666666666519e+00 1.279921577780376389e-39
2.194444444444444198e+00 5.191999211324927008e-37
2.222222222222222321e+00 1.476908484661182047e-39
2.250000000000000000e+00 5.877787084559951412e-40
2.277777777777777679e+00 7.180832509089714634e-40
2.305555555555555358e+00 3.886953645867544349e-39
2.333333333333333037e+00 6.159030169280349356e-39
2.361111111111111160e+00 7.885646640900073310e-40
2.388888888888888840e+00 5.680355307542996098e-40
2.416666666666666519e+00 1.205020496931751056e-39
2.444444444444444198e+00 1.880446131749211672e-37
2.472222222222221877e+00 1.550099156051657685e-39
2.500000000000000000e+00 5.874316210346873207e-40
2.527777777777777679e+00 6.940473269837742251e-40
2.555555555555555358e+00 3.456689562288814244e-39
2.583333333333333037e+00 7.063674015388662972e-39
2.611111111111111160e+00 8.031165375187514987e-40
2.638888888888888840e+00 5.587214259186630927e-40
2.666666666666666519e+00 1.136341626797091818e-39
2.694444444444444198e+00 9.451770096625511081e-38
2.722222222222221877e+00 1.628887455675762032e-39
2.750000000000000000e+00 5.870479309543030463e-40
2.777777777777777679e+00 6.711230924841867674e-40
2.805555555555555358e+00 3.093385197153212089e-39
2.833333333333333037e+00 8.184591656223237866e-39
2.861111111111111160e+00 8.180479012882325822e-40
2.888888888888888840e+00 5.495863159078859912e-40
2.916666666666666519e+00 1.073207969719639560e-39
2.944444444444444198e+00 5.642478342292121561e-38
2.972222222222221877e+00 1.713876122193760356e-39
3.000000000000000000e+00 5.866276193896149482e-40
3.027777777777777679e+00 6.492404790812074910e-40
3.055555555555555358e+00 2.783819321359865338e-39
3.083333333333333037e+00 9.597013624253291353e-39
3.111111111111110716e+00 8.333746306572988085e-40
3.138888888888888840e+00 5.406246445579003243e-40
3.166666666666666519e+00 1.015032468752968080e-39
3.194444444444444198e+00 3.737252657153062229e-38
3.222222222222221877e+00 1.805752263836433895e-39
3.250000000000000000e+00 5.861706663884881361e-40
3.277777777777777679e+00 6.283349231418166416e-40
3.305555555555555358e+00 2.517880670023817610e-39
3.333333333333333037e+00 1.141202397073119025e-38
3.361111111111110716e+00 8.491135033844826576e-40
3.388888888888888840e+00 5.318310813252428892e-40
3.416666666666666519e+00 9.613040156974976014e-40
3.444444444444444198e+00 2.652663873159591125e-38
3.472222222222221877e+00 1.905302031869803157e-39
3.500000000000000000e+00 5.856770510664356595e-40
3.527777777777777679e+00 6.083468508287189631e-40
3.555555555555555358e+00 2.287729638328777058e-39
3.583333333333333037e+00 1.379920845314438902e-38
3.611111111111110716e+00 8.652822652734343208e-40
3.638888888888888840e+00 5.232005098037218483e-40
3.666666666666666519e+00 9.115759367488157928e-40
3.694444444444444198e+00 1.977910896802170786e-38
3.722222222222221877e+00 2.013428371681831326e-39
3.750000000000000000e+00 5.851467518372815767e-40
3.777777777777777679e+00 5.892212187645822033e-40
3.805555555555555358e+00 2.087212220738759992e-39
3.833333333333333037e+00 1.702792540965366405e-38
3.861111111111110716e+00 8.818997015150299389e-40
3.888888888888888840e+00 5.147280169422510163e-40
3.916666666666666519e+00 8.654564664869968485e-40
3.944444444444444198e+00 1.530100265711980622e-38
3.972222222222221877e+00 2.131172614090454957e-39
4.000000000000000000e+00 5.845797466760626171e-40
4.027777777777777679e+00 5.709071034927462333e-40
4.055555555555555358e+00 1.911443046047992259e-39
4.083333333333333037e+00 2.154697554619882414e-38
4.111111111111110716e+00 8.989857144831059580e-40
4.138888888888888395e+00 5.064088829159871914e-40
