# frequency/Hz 	 PSD/[1/Hz]
0.000000000000000000e+00 1.246708596118960103e-39
1.388888888888888812e-02 1.324990742711146343e-39
2.777777777777777624e-02 1.575317915636843073e-39
4.166666666666666435e-02 2.005595660305917473e-39
5.555555555555555247e-02 2.438597143395349394e-39
6.944444444444444753e-02 2.434619845668884819e-39
8.333333333333332871e-02 1.998795141855953497e-39
9.722222222222220989e-02 1.570543934668977572e-39
1.111111111111111049e-01 1.322781122446461615e-39
1.250000000000000000e-01 1.246703490432275802e-39
1.388888888888888951e-01 1.327195548851555817e-39
1.527777777777777624e-01 1.580101435365425450e-39
1.666666666666666574e-01 2.012406749468784697e-39
1.805555555555555525e-01 2.442530859076249738e-39
1.944444444444444198e-01 2.430599804099952363e-39
2.083333333333333148e-01 1.992006041758919352e-39
2.222222222222222099e-01 1.565779998671080011e-39
2.361111111111111049e-01 1.320566964879857189e-39
2.500000000000000000e-01 1.246688171254038594e-39
2.638888888888888951e-01 1.329395257241253021e-39
2.777777777777777901e-01 1.584893975087612304e-39
2.916666666666666297e-01 2.019227549305366894e-39
3.055555555555555247e-01 2.446420174512196967e-39
3.194444444444444198e-01 2.426537876489187295e-39
3.333333333333333148e-01 1.985229195586494926e-39
3.472222222222222099e-01 1.561026601765239368e-39
3.611111111111111049e-01 1.318348540249469299e-39
3.750000000000000000e-01 1.246662632358602307e-39
3.888888888888888395e-01 1.331589577290136630e-39
4.027777777777777346e-01 1.589695003023039994e-39
4.166666666666666297e-01 2.026057186990203349e-39
4.305555555555555247e-01 2.450264291795418504e-39
4.444444444444444198e-01 2.422434939907409502e-39
4.583333333333333148e-01 1.978465427213661796e-39
4.722222222222222099e-01 1.556284226416384434e-39
4.861111111111111049e-01 1.316126112381243578e-39
5.000000000000000000e-01 1.246626863318800059e-39
5.138888888888888395e-01 1.333778211235482002e-39
5.277777777777777901e-01 1.594503973950288804e-39
5.416666666666666297e-01 2.032894776564552718e-39
5.555555555555555802e-01 2.454062433702816963e-39
5.694444444444444198e-01 2.418291890341260632e-39
5.833333333333332593e-01 1.971715549205415615e-39
5.972222222222222099e-01 1.551553343847737232e-39
6.111111111111110494e-01 1.313899938878401520e-39
6.250000000000000000e-01 1.246580849550059070e-39
6.388888888888888395e-01 1.335960853936691967e-39
6.527777777777777901e-01 1.599320328678564602e-39
6.666666666666666297e-01 2.039739418582594611e-39
6.805555555555554692e-01 2.457813844065796352e-39
6.944444444444444198e-01 2.414109642431129919e-39
7.083333333333332593e-01 1.964980363141911915e-39
7.222222222222222099e-01 1.546834414484876944e-39
7.361111111111110494e-01 1.311670271278498681e-39
7.500000000000000000e-01 1.246524572275571198e-39
7.638888888888888395e-01 1.338137192667773385e-39
7.777777777777776791e-01 1.604143493609078315e-39
7.916666666666666297e-01 2.046590199718819311e-39
8.055555555555554692e-01 2.461517788149807713e-39
8.194444444444444198e-01 2.409889129064525926e-39
8.333333333333332593e-01 1.958260660005530530e-39
8.472222222222222099e-01 1.542127888373338850e-39
8.611111111111110494e-01 1.309437355274851588e-39
8.750000000000000000e-01 1.246458008549881749e-39
8.888888888888888395e-01 1.340306906937806770e-39
9.027777777777776791e-01 1.608972880222221273e-39
9.166666666666666297e-01 2.053446192434720770e-39
9.305555555555554692e-01 2.465173553021073514e-39
9.444444444444444198e-01 2.405631301137424947e-39
9.583333333333332593e-01 1.951557220504947340e-39
9.722222222222222099e-01 1.537434205560169755e-39
9.861111111111110494e-01 1.307201430843415111e-39
1.000000000000000000e+00 1.246381131212414468e-39
1.013888888888888840e+00 1.342469668245368578e-39
1.027777777777777679e+00 1.613807884581597042e-39
1.041666666666666519e+00 2.060306454585659085e-39
1.055555555555555580e+00 2.468780447919022339e-39
1.069444444444444420e+00 2.401337127184991962e-39
1.083333333333333259e+00 1.944870815511761313e-39
1.097222222222222099e+00 1.532753796552638949e-39
1.111111111111111160e+00 1.304962732442405548e-39
1.125000000000000000e+00 1.246293908920836722e-39
1.138888888888888840e+00 1.344625139890014181e-39
1.152777777777777679e+00 1.618647886833413120e-39
1.166666666666666519e+00 2.067170029106383242e-39
1.180555555555555580e+00 2.472337804667413414e-39
1.194444444444444420e+00 2.397007593167813286e-39
1.208333333333333259e+00 1.938202206360463734e-39
1.222222222222222099e+00 1.528087082650905086e-39
1.236111111111110938e+00 1.302721489158808565e-39
