# frequency/Hz 	 PSD/[1/Hz]
0.000000000000000000e+00 2.805778334210253428e-40
3.125000000000000000e-02 4.979497944924031857e-40
6.250000000000000000e-02 2.191666115086804252e-39
9.375000000000000000e-02 4.960313217196758564e-40
1.250000000000000000e-01 2.805751238521593031e-40
1.562500000000000000e-01 4.998704263176444659e-40
1.875000000000000000e-01 2.191504036971270123e-39
2.187500000000000000e-01 4.941148233023242467e-40
2.500000000000000000e-01 2.805669953341432170e-40
2.812500000000000000e-01 5.017934066431918001e-40
3.125000000000000000e-01 2.191179867304493601e-39
3.437500000000000000e-01 4.922001191325805756e-40
3.750000000000000000e-01 2.805534484386118636e-40
4.062500000000000000e-01 5.037189298573898400e-40
4.375000000000000000e-01 2.190693579171673373e-39
4.687500000000000000e-01 4.902870335171002653e-40
5.000000000000000000e-01 2.805344841141038106e-40
5.312500000000000000e-01 5.056471954621720969e-40
5.625000000000000000e-01 2.190045132260586429e-39
5.937500000000000000e-01 4.883753950255480429e-40
6.250000000000000000e-01 2.805101036936591519e-40
6.562500000000000000e-01 5.075784082792504483e-40
6.875000000000000000e-01 2.189234472841753433e-39
7.187500000000000000e-01 4.864650363256015382e-40
7.500000000000000000e-01 2.804803088906168859e-40
7.812500000000000000e-01 5.095127786326028634e-40
8.125000000000000000e-01 2.188261533864039969e-39
8.437500000000000000e-01 4.845557940451458258e-40
8.750000000000000000e-01 2.804451018046856916e-40
9.062500000000000000e-01 5.114505225712402830e-40
9.375000000000000000e-01 2.187126234962144987e-39
9.687500000000000000e-01 4.826475086145692958e-40
1.000000000000000000e+00 2.804044849185798891e-40
1.031250000000000000e+00 5.133918620723760518e-40
1.062500000000000000e+00 2.185828482514508963e-39
1.093750000000000000e+00 4.807400241395966440e-40
1.125000000000000000e+00 2.803584611067351669e-40
1.156250000000000000e+00 5.153370252710659840e-40
1.187500000000000000e+00 2.184368169742846977e-39
1.218750000000000000e+00 4.788331882596183133e-40
1.250000000000000000e+00 2.803070336306493510e-40
1.281250000000000000e+00 5.172862466876978496e-40
1.312500000000000000e+00 2.182745176801973773e-39
1.343750000000000000e+00 4.769268520177670322e-40
1.375000000000000000e+00 2.802502061498384729e-40
1.406250000000000000e+00 5.192397674766435670e-40
