# frequency/Hz 	 PSD/[1/Hz]
0.000000000000000000e+00 2.479298582402436082e-38
4.166666666666666435e-02 9.826131641001622028e-38
8.333333333333332871e-02 9.469909765911146106e-38
1.250000000000000000e-01 2.479190191132663548e-38
1.666666666666666574e-01 1.020178881116650032e-37
2.083333333333333148e-01 9.131817874512177599e-38
2.500000000000000000e-01 2.478865009562875992e-38
2.916666666666666297e-01 1.059830474751725568e-37
3.333333333333333148e-01 8.810657342972838911e-38
3.750000000000000000e-01 2.478323014624095620e-38
4.166666666666666297e-01 1.101723399993953120e-37
4.583333333333333148e-01 8.505326031543177837e-38
5.000000000000000000e-01 2.477564167967027683e-38
5.416666666666666297e-01 1.146027677523013139e-37
5.833333333333332593e-01 8.214809191246673806e-38
6.250000000000000000e-01 2.476588415796830367e-38
6.666666666666666297e-01 1.192929541703230276e-37
7.083333333333332593e-01 7.938171346135727531e-38
7.500000000000000000e-01 2.475395689040458058e-38
7.916666666666666297e-01 1.242633307363507697e-37
8.333333333333332593e-01 7.674549036554608372e-38
8.750000000000000000e-01 2.473985903387482596e-38
9.166666666666666297e-01 1.295363488818659366e-37
9.583333333333332593e-01 7.423144317473171140e-38
1.000000000000000000e+00 2.472358959264833569e-38
1.041666666666666519e+00 1.351367209982897692e-37
1.083333333333333259e+00 7.183218928757160339e-38
1.125000000000000000e+00 2.470514741908769803e-38
1.166666666666666519e+00 1.410916951450977072e-37
1.208333333333333259e+00 6.954089055359176423e-38
1.250000000000000000e+00 2.468453121501113109e-38
1.291666666666666519e+00 1.474313689065796696e-37
1.333333333333333259e+00 6.735120613595522308e-38
1.375000000000000000e+00 2.466173953158412618e-38
1.416666666666666519e+00 1.541890487314802082e-37
1.458333333333333259e+00 6.525725003636918791e-38
1.500000000000000000e+00 2.463677077004900822e-38
1.541666666666666519e+00 1.614016622897384138e-37
1.583333333333333259e+00 6.325355275557698877e-38
1.625000000000000000e+00 2.460962318340987373e-38
1.666666666666666519e+00 1.691102328883503710e-37
1.708333333333333259e+00 6.133502665757957363e-38
1.750000000000000000e+00 2.458029487676410760e-38
1.791666666666666519e+00 1.773604264972561857e-37
1.833333333333333259e+00 5.949693461833287372e-38
1.875000000000000000e+00 2.454878380866971633e-38
1.916666666666666519e+00 1.862031841880829966e-37
1.958333333333333259e+00 5.773486162264423333e-38
2.000000000000000000e+00 2.451508779201107927e-38
2.041666666666666519e+00 1.956954551065789789e-37
2.083333333333333037e+00 5.604468899100965751e-38
2.125000000000000000e+00 2.447920449612971635e-38
2.166666666666666519e+00 2.059010482226953616e-37
2.208333333333333037e+00 5.442257097024540127e-38
2.250000000000000000e+00 2.444113144683106914e-38
2.291666666666666519e+00 2.168916247089924077e-37
2.333333333333333037e+00 5.286491343372210562e-38
2.375000000000000000e+00 2.440086602901801983e-38
2.416666666666666519e+00 2.287478573955358506e-37
2.458333333333333037e+00 5.136835449370913156e-38
2.500000000000000000e+00 2.435840548790919162e-38
2.541666666666666519e+00 2.415607889765882517e-37
2.583333333333333037e+00 4.992974681774475411e-38
2.625000000000000000e+00 2.431374693089399361e-38
